modelo,reamostragem,parametros,threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,tempo_treino_s,tempo_inferencia_por_amostra_ms
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.5,0.9306205493387589,0.37554585152838427,0.3028169014084507,0.33528265107212474,0.9577464788732394,0.9691211401425178,0.9634002361275088,0.6493414435998168,0.8249355233104523,0.2982941359616161,0.6971830985915493,0.030878859857482184,2.6008442290003586,0.03685155401841499
Logistic Regression,com undersampling,"{'C': 5.0, 'class_weight': None, 'penalty': 'l2'}",0.5,0.8691759918616481,0.23718887262079064,0.5704225352112676,0.33505687693898656,0.97117202268431,0.8874973007989635,0.927451201624732,0.6312540392818593,0.820518337839605,0.2936896836139986,0.4295774647887324,0.11250269920103649,0.04145992899975681,0.00022305920652003952
Extra Trees,com undersampling,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.9422177009155646,0.5,0.25,0.3333333333333333,0.9553739786297926,0.9846685381127186,0.9698000850701829,0.6515667092017581,0.8088935252630011,0.30171798482505674,0.75,0.015331461887281364,2.138828493998517,0.01178045940990105
Logistic Regression,com undersampling,"{'C': 5.0, 'class_weight': None, 'penalty': 'l1'}",0.5,0.8587995930824008,0.22297297297297297,0.5809859154929577,0.322265625,0.9714970059880239,0.8758367523213129,0.9211900976606859,0.621727861330343,0.8116797850371501,0.25733918833303526,0.41901408450704225,0.12416324767868711,0.658869136001158,0.0002278728383333429
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 0.01, 'fit_prior': True}",0.5,0.8783316378433367,0.23657718120805368,0.4964788732394366,0.32045454545454544,0.9668904839083121,0.9017490822716476,0.9331843575418994,0.6268194514982224,0.8191561917390762,0.2384145332170612,0.5035211267605634,0.09825091772835241,0.009425782998732757,0.0009132095625819941
Logistic Regression,com undersampling,"{'C': 10.0, 'class_weight': None, 'penalty': 'l2'}",0.5,0.8573753814852493,0.2193808882907133,0.573943661971831,0.317429406037001,0.9709971236816874,0.8747570719067156,0.9203680563444281,0.6188987311907146,0.8149998023120367,0.2775369197147504,0.426056338028169,0.12524292809328438,0.05241483499958122,0.00023124842301528855
Logistic Regression,sem reamostragem,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.8083418107833164,0.19649446494464945,0.75,0.31140350877192985,0.9814669799008092,0.811919671777154,0.8886787993382179,0.6000411540550739,0.8377247940243491,0.3120379225952927,0.25,0.18808032822284604,0.09687629299878608,0.00016639125148508991
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 0.1, 'fit_prior': True}",0.5,0.8736520854526958,0.22512234910277323,0.4859154929577465,0.3076923076923077,0.9660622966062297,0.8974303606132584,0.930482480689578,0.6190873941909428,0.8140547017801041,0.23319486593515756,0.5140845070422535,0.10256963938674152,0.00726886799930071,0.0006027237028627261
Extra Trees,com undersampling,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.9426246185147508,0.5081967213114754,0.21830985915492956,0.3054187192118227,0.9536824535781347,0.9870438350248326,0.9700764006791172,0.6377475599454699,0.8130886919443676,0.31116930712732643,0.7816901408450704,0.01295616497516735,3.4606980769985967,0.02053381342835566
Logistic Regression,com undersampling,"{'C': 10.0, 'class_weight': None, 'penalty': 'l1'}",0.5,0.8435401831129197,0.2039072039072039,0.5880281690140845,0.3028105167724388,0.971435546875,0.8592096739365148,0.9118826629998854,0.6073465898861621,0.8004545302477791,0.21899289423435586,0.4119718309859155,0.1407903260634852,1.1669473469992226,0.00022215727348489798
