modelo,reamostragem,parametros,threshold,atende_recall_1_minimo,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,negados_corretamente_tn,concessoes_indevidas_fp,negacoes_indevidas_fn,concedidos_corretamente_tp
Random Forest,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.8,True,0.9466937945066124,0.5561224489795918,0.38380281690140844,0.45416666666666666,0.9629158720067811,0.9812135607860073,0.9719786096256684,0.7130726381461675,0.8539082149993462,0.4173381738377207,0.6161971830985915,0.01878643921399266,109,175,87,4544
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.85,True,0.9078331637843337,0.3443830570902394,0.6584507042253521,0.45223700120918986,0.9778133577310155,0.9231267544806737,0.9496834388537154,0.7009602200314526,0.8564139099333639,0.44197938547088267,0.3415492957746479,0.07687324551932628,187,97,356,4275
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.85,True,0.9173957273652086,0.36622807017543857,0.5880281690140845,0.45135135135135135,0.9737609329446064,0.9375944720362772,0.9553355335533553,0.7033434424523534,0.859112730800697,0.423028453545733,0.4119718309859155,0.062405527963722736,167,117,289,4342
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.3,True,0.9346897253306206,0.43853820598006643,0.4647887323943662,0.4512820512820513,0.9670567837017772,0.963506801986612,0.9652785289345592,0.7082802901083053,0.8447461382416721,0.42354789983990704,0.5352112676056338,0.03649319801338804,132,152,169,4462
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.4,True,0.9200406917599186,0.37354988399071926,0.5669014084507042,0.45034965034965035,0.9725691347011597,0.9416972576117469,0.9568842567196928,0.7036169535346716,0.8447461382416721,0.42354789983990704,0.43309859154929575,0.05830274238825308,161,123,270,4361
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.45,True,0.9493387589013225,0.6035502958579881,0.3591549295774648,0.4503311258278146,0.9616519174041298,0.9855322824443965,0.973445664924816,0.7118883953763153,0.8337653322222255,0.3909820782056745,0.6408450704225352,0.014467717555603542,102,182,67,4564
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.85,True,0.9180061037639878,0.3674832962138085,0.5809859154929577,0.45020463847203274,0.9733542319749217,0.9386741524508745,0.955699681213587,0.7029521598428099,0.8595240738318922,0.42145241317008547,0.41901408450704225,0.061325847549125456,165,119,284,4347
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.4,True,0.9198372329603255,0.3726851851851852,0.5669014084507042,0.44972067039106145,0.9725630158376087,0.9414813215288275,0.956769804696072,0.7032452375435667,0.8486056155546972,0.43434407880596615,0.43309859154929575,0.058518678471172536,161,123,271,4360
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.85,True,0.9078331637843337,0.3426443202979516,0.647887323943662,0.4482338611449452,0.9771585198720877,0.923774562729432,0.9497169497169498,0.6989754054309475,0.8337653322222255,0.3909820782056745,0.352112676056338,0.07622543727056791,184,100,353,4278
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.3,True,0.9338758901322483,0.43278688524590164,0.4647887323943662,0.44821731748726656,0.9670281995661605,0.9626430576549342,0.9648306460339791,0.7065239817606228,0.8486056155546972,0.43434407880596615,0.5352112676056338,0.03735694234506586,132,152,173,4458
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.45,True,0.9119023397761953,0.3501006036217304,0.6126760563380281,0.44558258642765686,0.9751018560434586,0.9302526452170158,0.9521494087744502,0.6988659976010535,0.8447461382416721,0.42354789983990704,0.3873239436619718,0.06974735478298423,174,110,323,4308
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.45,True,0.9493387589013225,0.6060606060606061,0.352112676056338,0.44543429844098,0.9612631578947368,0.9859641546102353,0.973456987527982,0.709445642984481,0.8356635168384525,0.3944475306585913,0.647887323943662,0.01403584538976463,100,184,65,4566
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.85,True,0.9055951169888098,0.33695652173913043,0.6549295774647887,0.4449760765550239,0.9775383910153564,0.9209673936514792,0.9484100511452079,0.6966930638501159,0.8356635168384525,0.3944475306585913,0.34507042253521125,0.07903260634852084,186,98,366,4265
